model,view,image_preprocessing_pipeline,accuracy,auc,sensitivity,precision,specificity,f1_score,training_time_mins,prediction_time_sec,peak_memory_used_MB,parameters
Custom CNN,View_Independent,P0,0.5710227489471436,0.62186598777771,0.2701863348484039,0.5649350881576538,0.7931937172774869,0.3655462228406257,19.77153068780899,3.334921360015869,1767.961181640625,9724449
VGG16,View_Independent,P0,0.5426136255264282,0.503926694393158,0.0,0.0,1.0,0.0,19.59777525266012,10.237637996673584,3285.903564453125,14715201
ResNet50,View_Independent,P0,0.5426136255264282,0.6247520446777344,0.0,0.0,1.0,0.0,19.15873343547185,9.129281759262083,493.20703125,23589761
EfficientNetB0,View_Independent,P0,0.5426136255264282,0.6003544330596924,0.0,0.0,1.0,0.0,17.083931918938955,7.315546989440918,485.064697265625,4050852
Custom CNN,View_Independent,P1,0.5710227489471436,0.62186598777771,0.2701863348484039,0.5649350881576538,0.7931937172774869,0.3655462228406257,17.413694190979005,3.215156555175781,1767.961181640625,9724449
VGG16,View_Independent,P1,0.5426136255264282,0.503926694393158,0.0,0.0,1.0,0.0,19.590232809384663,7.393521070480347,3285.903564453125,14715201
ResNet50,View_Independent,P1,0.5426136255264282,0.6247520446777344,0.0,0.0,1.0,0.0,19.53011039892833,9.259589672088625,493.204833984375,23589761
EfficientNetB0,View_Independent,P1,0.5426136255264282,0.6003544330596924,0.0,0.0,1.0,0.0,17.627030622959136,6.109130144119263,485.06591796875,4050852
Custom CNN,View_Independent,P2,0.5752840638160706,0.6030698418617249,0.3571428656578064,0.5555555820465088,0.7041884816753927,0.434782623117948,20.61805698076884,3.944718837738037,1767.961181640625,9724449
VGG16,View_Independent,P2,0.5426136255264282,0.54117751121521,0.0,0.0,1.0,0.0,19.869996754328408,6.476735830307007,3285.903564453125,14715201
ResNet50,View_Independent,P2,0.5426136255264282,0.6189676523208618,0.0,0.0,1.0,0.0,23.78388100862503,9.608767032623293,493.216064453125,23589761
EfficientNetB0,View_Independent,P2,0.5426136255264282,0.605679452419281,0.0,0.0,1.0,0.0,18.64047754605611,10.239794492721558,485.058837890625,4050852
Custom CNN,View_Independent,P3,0.5426136255264282,0.5,0.0,0.0,1.0,0.0,18.86859946250916,4.00525975227356,1767.961181640625,9724449
VGG16,View_Independent,P3,0.5426136255264282,0.5,0.0,0.0,1.0,0.0,21.26218670606613,7.068448305130005,3285.903564453125,14715201
ResNet50,View_Independent,P3,0.5426136255264282,0.6158945560455322,0.0,0.0,1.0,0.0,22.053943661848702,8.804409265518188,493.203369140625,23589761
EfficientNetB0,View_Independent,P3,0.5426136255264282,0.5406572222709656,0.0,0.0,1.0,0.0,17.83410882552465,7.1157591342926025,485.0595703125,4050852
Custom CNN,View_Independent,P4,0.5525568127632141,0.6400685906410217,0.0931676998734474,0.5660377144813538,0.93717277486911,0.1599999962120056,16.91880337794622,3.080129384994507,1767.961181640625,9724449
VGG16,View_Independent,P4,0.5426136255264282,0.503926694393158,0.0,0.0,1.0,0.0,22.442167925834656,7.656845331192017,3285.903564453125,14715201
ResNet50,View_Independent,P4,0.5426136255264282,0.6302152872085571,0.0,0.0,1.0,0.0,19.5412763675054,7.737408638000488,493.216064453125,23589761
