model,image_preprocessing_pipeline,view_type,lesion_type,accuracy,auc,sensitivity,precision,specificity,f1_score,training_time_mins,inference_time_sec,peak_memory_used_MB,ece_before_scaling,ece_after_scaling,brier_score_before_scaling,brier_score_after_scaling
VGG16,CLAHE + Median Blur,CC-Only-View,Calcification-Only-Lesion,0.6363636255264282,0.6858780384063721,0.349397599697113,0.6744186282157898,0.7692307692307693,0.4603174739083405,3.9417654355367024,0.3801127274831136,3287.401123046875,0.44385022,0.44385022,0.20159791,0.19894812
ResNet50,CLAHE + Median Blur,CC-Only-View,Calcification-Only-Lesion,0.614973247051239,0.63021320104599,0.2530120611190796,0.6774193644523621,0.75,0.3684210677574728,4.170235204696655,1.707011302312215,499.69189453125,0.4438502192497253,0.4438502192497253,0.2020699828863144,0.2003856599330902
DenseNet121,CLAHE + Median Blur,CC-Only-View,Calcification-Only-Lesion,0.5935828685760498,0.5943582057952881,0.1566265076398849,0.6842105388641357,0.8076923076923077,0.2549019637949097,4.799175763130188,1.696990966796875,400.7685546875,0.4438502192497253,0.4438502192497253,0.2292251139879226,0.2245039641857147
MobileNetV2,CLAHE + Median Blur,CC-Only-View,Calcification-Only-Lesion,0.6203208565711975,0.6047845482826233,0.3253012001514435,0.6428571343421936,0.7211538461538461,0.4319999939613342,2.773695504665375,0.6298991839090983,478.640380859375,0.4438502192497253,0.4438502192497253,0.2293318659067154,0.2291924208402633
EfficientNet-B0,CLAHE + Median Blur,CC-Only-View,Calcification-Only-Lesion,0.614973247051239,0.6642725467681885,0.1686746925115585,0.8235294222831726,0.7211538461538461,0.2799999919503926,3.979065418243408,0.85844353834788,488.7041015625,0.4438502192497253,0.4438502192497253,0.1968577653169632,0.1960723251104354
VGG16,CLAHE + Median Blur,Unified-View,Calcification-Only-Lesion,0.6709844470024109,0.6837865710258484,0.3668639063835144,0.7560975551605225,0.7142857142857143,0.4940239041005351,8.51553807258606,0.2756256323594313,3287.401123046875,0.4378237724304199,0.4378237724304199,0.1937827467918396,0.1931166052818298
ResNet50,CLAHE + Median Blur,Unified-View,Calcification-Only-Lesion,0.6398963928222656,0.6811005473136902,0.2840236723423004,0.7272727489471436,0.8018433179723502,0.4085106455475671,7.989156726996104,0.4815658239217905,499.68994140625,0.4378237724304199,0.4378237724304199,0.1904478669166565,0.1904790848493576
DenseNet121,CLAHE + Median Blur,Unified-View,Calcification-Only-Lesion,0.5777202248573303,0.5850489139556885,0.0946745574474334,0.6153846383094788,0.8341013824884793,0.164102566772037,9.194526529312132,0.9148621192345252,400.7685546875,0.4378237724304199,0.4378237724304199,0.2222063541412353,0.219688132405281
MobileNetV2,CLAHE + Median Blur,Unified-View,Calcification-Only-Lesion,0.5932642221450806,0.602936863899231,0.1479289978742599,0.6578947305679321,0.8387096774193549,0.2415458983512722,3.9095190445582073,0.389218623821552,478.7451171875,0.4378237724304199,0.4378237724304199,0.2260637283325195,0.2256491929292678
EfficientNet-B0,CLAHE + Median Blur,Unified-View,Calcification-Only-Lesion,0.6632124185562134,0.7027785778045654,0.3372780978679657,0.7599999904632568,0.7235023041474654,0.467213104661475,7.946132850646973,0.5177574524512658,488.799072265625,0.4378237724304199,0.4378237724304199,0.1859811395406723,0.1852724552154541
