model,image_preprocessing_pipeline,view_type,lesion_type,accuracy,auc,sensitivity,precision,specificity,f1_score,training_time_mins,inference_time_sec,peak_memory_used_MB,ece_before_scaling,ece_after_scaling,brier_score_before_scaling,brier_score_after_scaling
VGG16,CLAHE + Median Blur,CC-Only-View,Mass-Only-Lesion,0.6824324131011963,0.6796918511390686,0.5362318754196167,0.7115384340286255,0.620253164556962,0.6115702321543881,3.273530300458272,0.3373216152191162,3287.401123046875,0.4662161,0.4662161,0.22235017,0.21952312
ResNet50,CLAHE + Median Blur,CC-Only-View,Mass-Only-Lesion,0.6689189076423645,0.6997799873352051,0.5072463750839233,0.699999988079071,0.5822784810126582,0.5882352887468733,3.360758165518442,1.03670973777771,499.685302734375,0.4662160873413086,0.4662160873413086,0.2192232757806778,0.2189958393573761
DenseNet121,CLAHE + Median Blur,CC-Only-View,Mass-Only-Lesion,0.5608108043670654,0.5553109645843506,0.260869562625885,0.5625,0.7215189873417721,0.3564356411453462,3.606373357772827,2.0477602005004885,400.7685546875,0.4662160873413086,0.4662160873413086,0.2595161199569702,0.2453795820474624
MobileNetV2,CLAHE + Median Blur,CC-Only-View,Mass-Only-Lesion,0.5810810923576355,0.5759493112564087,0.3768115937709808,0.5777778029441833,0.4810126582278481,0.4561403584034487,3.163489456971486,0.5740922927856446,478.64208984375,0.4662160873413086,0.4662160873413086,0.2514158487319946,0.245881050825119
EfficientNet-B0,CLAHE + Median Blur,CC-Only-View,Mass-Only-Lesion,0.6689189076423645,0.7053752541542053,0.4202898442745209,0.7631579041481018,0.6075949367088608,0.5420560681598134,3.2267772952715554,1.161961841583252,488.707275390625,0.4662160873413086,0.4662160873413086,0.219940960407257,0.2196100354194641
VGG16,CLAHE + Median Blur,Unified-View,Mass-Only-Lesion,0.606918215751648,0.6163596510887146,0.4183006584644317,0.6399999856948853,0.6060606060606061,0.5059288528470287,7.250999895731608,0.2907940149307251,3287.401123046875,0.4811319708824157,0.4811319708824157,0.2455891966819763,0.2373949438333511
ResNet50,CLAHE + Median Blur,Unified-View,Mass-Only-Lesion,0.6415094137191772,0.6559714078903198,0.4052287638187408,0.729411780834198,0.6121212121212121,0.521008412144622,7.320932904879252,0.527954888343811,499.695556640625,0.4811319708824157,0.4811319708824157,0.221821904182434,0.2204844206571579
DenseNet121,CLAHE + Median Blur,Unified-View,Mass-Only-Lesion,0.5723270177841187,0.5800158977508545,0.2810457646846771,0.6231883764266968,0.6545454545454545,0.3873873941105061,7.450898865858714,1.013465404510498,400.7685546875,0.4811319708824157,0.4811319708824157,0.2468452155590057,0.2403343468904495
MobileNetV2,CLAHE + Median Blur,Unified-View,Mass-Only-Lesion,0.5566037893295288,0.5771836638450623,0.3071895539760589,0.5731707215309143,0.593939393939394,0.4000000072648049,6.226554322242737,0.3543814659118652,478.6416015625,0.4811319708824157,0.4811319708824157,0.2506789565086365,0.2446488142013549
EfficientNet-B0,CLAHE + Median Blur,Unified-View,Mass-Only-Lesion,0.6383647918701172,0.7038028836250305,0.33986929059028625,0.7878788113594055,0.7151515151515152,0.4748858583311266,6.474203300476074,0.5466367721557617,488.79931640625,0.48113197088241577,0.48113197088241577,0.21229469776153564,0.2123265266418457
