model,image_preprocessing_pipeline,view_type,lesion_type,pr_auc,sensitivity,precision,specificity,f1_score
VGG16,CLAHE + Median Blur,Unified,Unified,0.561135470867157,0.356521725654602,0.6212121248245239,0.6386554621848739,0.4530386641138997
ResNet50,CLAHE + Median Blur,Unified,Unified,0.6466270089149475,0.3695652186870575,0.732758641242981,0.7843137254901961,0.4913294855342793
DenseNet121,CLAHE + Median Blur,Unified,Unified,0.5087416172027588,0.2782608568668365,0.5981308221817017,0.7619047619047619,0.3798219428085825
MobileNetV2,CLAHE + Median Blur,Unified,Unified,0.5485242009162903,0.3782608807086944,0.6304348111152649,0.3809523809523809,0.4728261036798358
EfficientNet-B0,CLAHE + Median Blur,Unified,Unified,0.5838264226913452,0.4739130437374115,0.5706806182861328,0.5434173669467787,0.5178147228847216
VGG16,Histogram Equalization + Gaussian Blur,Unified,Unified,0.5470436811447144,0.260869562625885,0.6521739363670349,0.7394957983193278,0.3726708086169494
ResNet50,Histogram Equalization + Gaussian Blur,Unified,Unified,0.6447275876998901,0.334782600402832,0.7623762488365173,0.8151260504201681,0.4652567916629296
DenseNet121,Histogram Equalization + Gaussian Blur,Unified,Unified,0.5508847236633301,0.3608695566654205,0.5928571224212646,0.7226890756302521,0.4486486361878383
MobileNetV2,Histogram Equalization + Gaussian Blur,Unified,Unified,0.5245891213417053,0.0260869562625885,0.6666666865348816,0.8711484593837535,0.0502092045972674
EfficientNet-B0,Histogram Equalization + Gaussian Blur,Unified,Unified,0.5889818668365479,0.3913043439388275,0.5921052694320679,0.5490196078431373,0.4712041876500434
