model,image_preprocessing_pipeline,accuracy,auc,sensitivity,precision,specificity,f1_score
VGG16,CLAHE + Median Blur,0.6660988330841064,0.6509864330291748,0.282608687877655,0.6770833134651184,0.7591036414565826,0.3987729949494238
ResNet50,CLAHE + Median Blur,0.713798999786377,0.7156070470809937,0.4217391312122345,0.7348484992980957,0.7394957983193278,0.5359116066801566
DenseNet121,CLAHE + Median Blur,0.632027268409729,0.6012664437294006,0.304347813129425,0.5555555820465088,0.6498599439775911,0.3932584227862156
MobileNetV2,CLAHE + Median Blur,0.6286200881004333,0.6053159832954407,0.356521725654602,0.5394737124443054,0.6386554621848739,0.4293193708977498
EfficientNet-B0,CLAHE + Median Blur,0.6422487497329712,0.6777250170707703,0.47826087474823,0.550000011920929,0.5406162464985994,0.5116279151002544
VGG16,Histogram Equalization + Gaussian Blur,0.6592844724655151,0.6441785097122192,0.3000000119209289,0.6388888955116272,0.7563025210084033,0.4082840360607954
ResNet50,Histogram Equalization + Gaussian Blur,0.6916524767875671,0.6863963007926941,0.291304349899292,0.7882353067398071,0.8487394957983193,0.4253968294455561
DenseNet121,Histogram Equalization + Gaussian Blur,0.6252129673957825,0.621385931968689,0.3521739244461059,0.5328947305679321,0.6974789915966386,0.4240837759140442
MobileNetV2,Histogram Equalization + Gaussian Blur,0.6439523100852966,0.6440567970275879,0.1695652157068252,0.6842105388641357,0.7282913165266106,0.2717770023105933
EfficientNet-B0,Histogram Equalization + Gaussian Blur,0.6712095141410828,0.6848861575126648,0.33043476939201355,0.6608695387840271,0.5798319327731093,0.44057969252268475
