model,image_preprocessing_pipeline,view_type,lesion_type,accuracy,auc,sensitivity,precision,specificity,f1_score,training_time_mins,inference_time_sec,peak_memory_used_MB
VGG16,Baseline,Unified,Calcification-Only-Lesion,0.7246835231781006,0.666368842124939,0.343137264251709,0.6363636255264282,0.8177570093457944,0.4458598778443119,7.63534080584844,0.2675697088241577,3287.401123046875
ResNet50,Baseline,Unified,Calcification-Only-Lesion,0.699367105960846,0.678280234336853,0.2745098173618316,0.5714285969734192,0.7897196261682243,0.3708609447976559,7.452728851636251,0.5308276891708374,621.235107421875
DenseNet121,Baseline,Unified,Calcification-Only-Lesion,0.6202531456947327,0.6271302700042725,0.529411792755127,0.4285714328289032,0.4766355140186916,0.4736842243542629,4.625233829021454,0.9557697534561156,653.052734375
MobileNetV2,Baseline,Unified,Calcification-Only-Lesion,0.6898733973503113,0.5737125873565674,0.0980392172932624,0.625,0.897196261682243,0.1694915278252086,3.323565745353698,0.3911537408828735,652.280029296875
EfficientNet-B0,Baseline,Unified,Calcification-Only-Lesion,0.7088607549667358,0.7324766516685486,0.2745098173618316,0.6086956262588501,0.6542056074766355,0.3783783861391724,3.493012539545695,0.6615768194198608,635.62890625
VGG16,Baseline,Unified,Mass-Only-Lesion,0.6051660776138306,0.6551300287246704,0.3203125,0.6721311211585999,0.7202797202797203,0.4338624283660114,6.943039794762929,0.2522301938798692,3287.401123046875
ResNet50,Baseline,Unified,Mass-Only-Lesion,0.7084870934486389,0.7467219233512878,0.484375,0.8266666531562805,0.7832167832167832,0.6108374347353286,6.92161625623703,0.6792274051242404,500.040771484375
DenseNet121,Baseline,Unified,Mass-Only-Lesion,0.5756457448005676,0.5715962648391724,0.390625,0.5747126340866089,0.6363636363636364,0.4651162759286767,3.710682543118794,1.088078260421753,578.42724609375
MobileNetV2,Baseline,Unified,Mass-Only-Lesion,0.5313653349876404,0.5652863383293152,0.0078125,1.0,0.8111888111888111,0.0155038759689922,3.1593839009602864,0.441942744784885,651.79345703125
EfficientNet-B0,Baseline,Unified,Mass-Only-Lesion,0.5904058814048767,0.5989128351211548,0.15625,0.8695651888847351,0.5874125874125874,0.2649006609289088,3.410104497273763,0.6212718486785889,635.5478515625
