model,image_preprocessing_pipeline,view_type,lesion_type,pr_auc,sensitivity,precision,specificity,f1_score
VGG16,Baseline,CC-Only-View,Unified,0.6135814189910889,0.3962264060974121,0.7118644118309021,0.7142857142857143,0.5090909029563924
ResNet50,Baseline,CC-Only-View,Unified,0.6993398666381836,0.4150943458080292,0.8301886916160583,0.8690476190476191,0.5534591277440389
DenseNet121,Baseline,CC-Only-View,Unified,0.5058735609054565,0.4339622557163238,0.5476190447807312,0.6547619047619048,0.4842105199557592
MobileNetV2,Baseline,CC-Only-View,Unified,0.5140449404716492,0.1698113232851028,0.6000000238418579,0.6547619047619048,0.2647058877475224
EfficientNet-B0,Baseline,CC-Only-View,Unified,0.6124789118766785,0.3301886916160583,0.6603773832321167,0.4404761904761904,0.4402515888214111
VGG16,Baseline,MLO-Only-View,Unified,0.5510561466217041,0.3064516186714172,0.6333333253860474,0.7142857142857143,0.4130434818101063
ResNet50,Baseline,MLO-Only-View,Unified,0.5504946112632751,0.2661290466785431,0.6346153616905212,0.7566137566137566,0.3750000103138196
DenseNet121,Baseline,MLO-Only-View,Unified,0.4365486204624176,0.0725806429982185,0.6000000238418579,0.8201058201058201,0.1294963999901688
MobileNetV2,Baseline,MLO-Only-View,Unified,0.5005653500556946,0.0806451588869094,0.9090909361839294,0.7883597883597884,0.1481481444524966
EfficientNet-B0,Baseline,MLO-Only-View,Unified,0.6031415462493896,0.25,0.7209302186965942,0.8095238095238095,0.37125748319193963
